,MyLogisticRegression,MyGaussianNB,MyKNN
train_accuracy,0.886716405111054,0.1909784752594117,0.0
val_accuracy,0.8673384062212559,0.4665941968392006,0.8518270758424618
train_gini,0.3559507772817323,0.0876208897485493,0.0
valid_gini,0.3245373468916339,0.0558532058689638,0.14262251460848896
